colection_id;colection_handle;colection_title;colection_vendor;colection_product_type;body_html;colection_tags;product_id;product_title;product_sku;product_price;images
559299166265;chocolate-chip-cookies;Crunchy Chocolate Chip Cookies;Partake Foods;Cookies;"New Recipe: The icon. The classic. The Chocolate Chip cookie! One taste of these vegan, allergy-friendly &amp; non-GMO cookies prove why it's cookie time, all the time.
";All Cookies,bestseller,chocolate chip,cookie,Crunchy Cookies;7130960101433;6 Boxes;60-07008;29.99;<p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/KEP_5943copy.png?v=1599806759<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/ChocChipHero_cb5c39dd-cf42-48db-bbac-62cdad855c5d.jpg?v=1599806759<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/cc.png?v=1599806759<p>
1719730962489;double-chocolate-chip-cookies;Crunchy Double Chocolate Chip Cookies;Partake Foods;Cookies;What's better than chocolate? Double chocolate! Rich cocoa cookies mixed with fudgy chips and healthy, whole food ingredients make this cookie an indulgent, worry-free treat.;All Cookies,chocolate chip,cookie,Crunchy Cookies;16946284920889;3 Boxes;30-07169;14.99;<p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/DoubleChocolatecopy.png?v=1600137104<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Partake_Product_0177.jpg?v=1600137104<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Screen_Shot_2019-09-26_at_5.48.35_PM.png?v=1600137104<p>
1719730962489;double-chocolate-chip-cookies;Crunchy Double Chocolate Chip Cookies;Partake Foods;Cookies;What's better than chocolate? Double chocolate! Rich cocoa cookies mixed with fudgy chips and healthy, whole food ingredients make this cookie an indulgent, worry-free treat.;All Cookies,chocolate chip,cookie,Crunchy Cookies;16946284855353;6 Boxes;60-07169;29.99;<p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/DoubleChocolatecopy.png?v=1600137104<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Partake_Product_0177.jpg?v=1600137104<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Screen_Shot_2019-09-26_at_5.48.35_PM.png?v=1600137104<p>
4298519445602;chocolate-chip-cookie-snack-pack;Snack Pack - Chocolate Chip (24 ct);Partake Foods;Cookies;"The icon. The classic. The Chocolate Chip cookie! One taste of these vegan, allergy-friendly &amp; non-GMO cookies prove why it's cookie time, all the time.
";All Cookies,Snack Pack;30973385277538;24 Pack;00736-2;34.99;<p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/chocchipsingleserve.png?v=1600186742<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Chocolate_Chip_-_Nutrition_Label.jpg?v=1600186742<p>
4369843781730;cookie-butter-soft-baked-cookies;Soft Baked Cookie Butter Cookies;Partake Foods;Cookies;These soft and spiced cookies will warm any day. Gluten-free and allergy-friendly, enjoy sweet and buttery cookies full of everything you want in a snack and nothing you don't. ;All Cookies,Soft Baked,Soft Baked Cookies;31355816673378;3 Boxes;30-07340;14.99;<p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/KEP_5944copy.png?v=1600137447<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/CookieButter.png?v=1600137447<p>
4369843781730;cookie-butter-soft-baked-cookies;Soft Baked Cookie Butter Cookies;Partake Foods;Cookies;These soft and spiced cookies will warm any day. Gluten-free and allergy-friendly, enjoy sweet and buttery cookies full of everything you want in a snack and nothing you don't. ;All Cookies,Soft Baked,Soft Baked Cookies;32071047479394;6 Boxes;60-07340;29.99;<p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/KEP_5944copy.png?v=1600137447<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/CookieButter.png?v=1600137447<p>
4369844011106;chocolate-chip-soft-baked-cookies;Soft Baked Chocolate Chip Cookies;Partake Foods;Cookies;"Our signature gluten-free &amp; allergy-friendly Chocolate Chip cookies are now soft-baked. Made with better-for-you ingredients and only 2.5 grams of sugar per cookie, this new take on a classic is full of chewy, chocolatey flavor.";All Cookies,Soft Baked,Soft Baked Cookies;31355818180706;3 Boxes;30-07333;14.99;<p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/ChocolateChipcopy.png?v=1600137592<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/SBChocchip.png?v=1600137592<p>
4369844011106;chocolate-chip-soft-baked-cookies;Soft Baked Chocolate Chip Cookies;Partake Foods;Cookies;"Our signature gluten-free &amp; allergy-friendly Chocolate Chip cookies are now soft-baked. Made with better-for-you ingredients and only 2.5 grams of sugar per cookie, this new take on a classic is full of chewy, chocolatey flavor.";All Cookies,Soft Baked,Soft Baked Cookies;31355818147938;6 Boxes;60-07333;29.99;<p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/ChocolateChipcopy.png?v=1600137592<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/SBChocchip.png?v=1600137592<p>
4298078191714;birthday-cake-cookies-snack-pack;Snack Pack - Birthday Cake (24 ct);Partake Foods;Cookies;"Surprise! Our much celebrated Birthday Cake cookie is now available in individual snack pack sizing. Perfect for lunchboxes and snacking on the go. These vegan, allergy-friendly &amp; non-GMO cookies are the gifts that keep on giving.
";All Cookies,Snack Pack;30971441315938;24 Pack;00728-9;34.99;<p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/birthdaycakesingleserve.png?v=1600186704<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Birthday_Cake_-_Nutrition_Label.jpg?v=1600186704<p>
4298822025314;double-chocolate-chip-cookie-snack-pack;Snack Pack - Double Chocolate Chip (24 ct);Partake Foods;Cookies;What's better than chocolate? Double chocolate! Rich cocoa cookies mixed with fudgy chips and healthy, whole food ingredients such as beets and rosemary, make this cookie an indulgent, worry-free treat.;All Cookies,Snack Pack;30974150410338;24 Pack;00730-2;34.99;<p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Doublechocchipsingleserve.png?v=1600186728<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Double_Chocolate_Chip_-_Nutrition_Label.jpg?v=1600186728<p>
4369843486818;triple-chocolate-soft-baked-cookies;Soft Baked Triple Chocolate Cookies;Partake Foods;Cookies;Take your love affair with chocolate to the next level with our Triple Chocolate soft baked cookies. Decadent, fudgy cookies full of chocolate chips and chocolate-covered candies for an allergy-friendly, non-GMO treat sweet enough to eat again and again. ;All Cookies,cookie,soft baked,Soft Baked Cookies;31355814838370;3 Boxes;30-07357;14.99;<p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/TripleChocolatecopy.png?v=1600137516<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Partake_SoftBaked_TripleChocolate_nutritionals_box.jpg?v=1600137516<p>
4369843486818;triple-chocolate-soft-baked-cookies;Soft Baked Triple Chocolate Cookies;Partake Foods;Cookies;Take your love affair with chocolate to the next level with our Triple Chocolate soft baked cookies. Decadent, fudgy cookies full of chocolate chips and chocolate-covered candies for an allergy-friendly, non-GMO treat sweet enough to eat again and again. ;All Cookies,cookie,soft baked,Soft Baked Cookies;31355814805602;6 Boxes;60-07357;29.99;<p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/TripleChocolatecopy.png?v=1600137516<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Partake_SoftBaked_TripleChocolate_nutritionals_box.jpg?v=1600137516<p>
559299166265;chocolate-chip-cookies;Crunchy Chocolate Chip Cookies;Partake Foods;Cookies;"New Recipe: The icon. The classic. The Chocolate Chip cookie! One taste of these vegan, allergy-friendly &amp; non-GMO cookies prove why it's cookie time, all the time.
";All Cookies,bestseller,chocolate chip,cookie,Crunchy Cookies;15350920151097;3 Boxes;30-07008;14.99;<p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/KEP_5943copy.png?v=1599806759<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/ChocChipHero_cb5c39dd-cf42-48db-bbac-62cdad855c5d.jpg?v=1599806759<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/cc.png?v=1599806759<p>
559299166265;chocolate-chip-cookies;Crunchy Chocolate Chip Cookies;Partake Foods;Cookies;"New Recipe: The icon. The classic. The Chocolate Chip cookie! One taste of these vegan, allergy-friendly &amp; non-GMO cookies prove why it's cookie time, all the time.
";All Cookies,bestseller,chocolate chip,cookie,Crunchy Cookies;7130960101433;6 Boxes;60-07008;29.99;<p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/KEP_5943copy.png?v=1599806759<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/ChocChipHero_cb5c39dd-cf42-48db-bbac-62cdad855c5d.jpg?v=1599806759<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/cc.png?v=1599806759<p>
1585820139577;carrot-cake-cookies;Crunchy Carrot Cake Cookies;Partake Foods;Cookies;"
This cookie takes the (carrot) cake! Literally. Packed with delicious flavor from carrots, oats, cinnamon, and rosemary, these vegan, allergy-friendly &amp; non-GMO cookies are truly crave-worthy. 


";All Cookies,chocolate chip,cookie,Crunchy Cookies;15379810025529;3 Boxes;30-07015;14.99;<p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/CarrotCakecopy.png?v=1600137148<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/CarrotHero.jpg?v=1600137148<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Screen_Shot_2019-09-26_at_5.46.21_PM.png?v=1600137148<p>
1585820139577;carrot-cake-cookies;Crunchy Carrot Cake Cookies;Partake Foods;Cookies;"
This cookie takes the (carrot) cake! Literally. Packed with delicious flavor from carrots, oats, cinnamon, and rosemary, these vegan, allergy-friendly &amp; non-GMO cookies are truly crave-worthy. 


";All Cookies,chocolate chip,cookie,Crunchy Cookies;15379809992761;6 Boxes;60-07015;29.99;<p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/CarrotCakecopy.png?v=1600137148<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/CarrotHero.jpg?v=1600137148<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Screen_Shot_2019-09-26_at_5.46.21_PM.png?v=1600137148<p>
1585824432185;ginger-snap-cookies;Crunchy Ginger Snap Cookies;Partake Foods;Cookies;"
This hearty and sweet cookie is full of ginger, spice, and everything nice! These vegan, allergy-friendly &amp; non-GMO cookies are crafted with true love.  



 
";All Cookies,cookie,Crunchy Cookies;15379924451385;3 Boxes;30-07022;14.99;<p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Gingersnapcopy.png?v=1600137236<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/SweetPotatoHero.jpg?v=1600137236<p><p>https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Screen_Shot_2019-09-26_at_5.44.32_PM.png?v=1600137236<p>
